title,artist,top genre,year released,added,dnce,val,dur,pop,artist type
Taste (feat. Offset),Tyga,dance pop,2018,2020‑06‑22,88,34,233,78,Solo
Saturday Sun,Vance Joy,folk-pop,2018,2021‑06‑15,64,71,215,75,Solo
SAD!,XXXTENTACION,emo rap,2018,2020‑06‑22,74,47,167,88,Solo
Moonlight,XXXTENTACION,emo rap,2018,2020‑06‑22,92,71,135,87,Solo
changes,XXXTENTACION,emo rap,2018,2020‑06‑22,67,52,122,84,Solo
If You're Over Me,Years & Years,dance pop,2018,2020‑06‑22,65,62,189,60,Band/Group
"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,cali rap,2018,2020‑06‑22,75,11,237,73,Solo
The Middle,Zedd,complextro,2018,2020‑06‑22,75,44,185,84,Solo
a lot,21 Savage,atl hip hop,2018,2020‑06‑22,84,27,289,83,Solo
Easier,5 Seconds of Summer,boy band,2020,2020‑06‑22,56,62,158,74,Band/Group
Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,melodic rap,2018,2020‑06‑22,58,43,189,80,Solo
Look Back at It,A Boogie Wit da Hoodie,melodic rap,2018,2020‑06‑22,79,54,179,78,Solo
Ladbroke Grove,AJ Tracey,grime,2019,2020‑08‑20,90,73,191,73,Solo
China,Anuel AA,latin,2019,2020‑06‑22,79,61,302,80,Solo
Secreto,Anuel AA,latin,2019,2020‑06‑22,81,71,259,79,Solo
7 rings,Ariana Grande,dance pop,2019,2020‑06‑22,78,33,179,88,Solo
"thank u, next",Ariana Grande,dance pop,2019,2020‑06‑22,72,41,207,85,Solo
"break up with your girlfriend, i'm bored",Ariana Grande,dance pop,2019,2020‑06‑22,73,34,190,81,Solo
boyfriend (with Social House),Ariana Grande,dance pop,2019,2020‑06‑22,40,70,186,81,Solo
On A Roll,Ashley O,pop,2019,2020‑06‑22,74,39,154,62,Solo
Callaita,Bad Bunny,latin,2019,2020‑06‑22,61,24,251,86,Solo
MIA (feat. Drake),Bad Bunny,latin,2018,2020‑06‑22,82,16,210,82,Solo
lovely (with Khalid),Billie Eilish,art pop,2018,2020‑06‑22,35,12,200,91,Solo
bad guy,Billie Eilish,art pop,2019,2020‑06‑22,70,56,194,88,Solo
when the party's over,Billie Eilish,art pop,2019,2020‑06‑22,37,20,196,85,Solo
bury a friend,Billie Eilish,art pop,2019,2020‑06‑22,91,20,193,80,Solo
Kill This Love,BLACKPINK,k-pop,2019,2020‑06‑22,76,65,191,79,Band/Group
The Git Up,Blanco Brown,black americana,2019,2020‑06‑22,85,81,201,74,Solo
Thotiana,Blueface,cali rap,2018,2020‑06‑22,91,39,129,71,Solo
Boy With Luv (feat. Halsey),BTS,k-pop,2019,2020‑06‑22,65,80,230,86,Band/Group
Please Me,Cardi B,dance pop,2019,2020‑06‑22,75,65,201,79,Solo
Money,Cardi B,dance pop,2018,2020‑06‑22,95,22,184,78,Solo
Suge,DaBaby,north carolina hip hop,2019,2020‑06‑22,88,84,163,77,Solo
Location (feat. Burna Boy),Dave,uk hip hop,2019,2020‑06‑22,81,55,241,81,Solo
Juicy,Doja Cat,dance pop,2019,2020‑06‑22,79,46,202,62,Solo
3 Nights,Dominic Fike,alternative pop rock,2018,2020‑06‑22,82,88,178,84,Solo
Money In The Grave (Drake ft. Rick Ross),Drake,canadian hip hop,2019,2020‑06‑22,83,10,205,82,Solo
Don't Start Now,Dua Lipa,dance pop,2019,2020‑06‑22,79,68,183,84,Solo
Take Me Back to London (feat. Stormzy),Ed Sheeran,pop,2019,2020‑06‑22,89,61,190,71,Solo
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,2019,2020‑06‑22,75,61,206,69,Solo
Antisocial (with Travis Scott),Ed Sheeran,pop,2019,2020‑06‑22,72,91,162,68,Solo
Leave Me Alone,Flipp Dinero,melodic rap,2019,2020‑06‑22,79,74,196,75,Solo
Lost in the Fire (feat. The Weeknd),Gesaffelstein,dark clubbing,2019,2021‑10‑28,66,17,202,89,Solo
Without Me,Halsey,dance pop,2018,2020‑06‑22,75,53,202,82,Solo
emotions,iann dior,melodic rap,2019,2021‑08‑17,63,16,131,77,Solo
gone girl,iann dior,melodic rap,2019,2021‑08‑17,68,36,137,75,Solo
MIDDLE CHILD,J. Cole,conscious hip hop,2019,2020‑06‑22,84,46,214,85,Solo
All Day And Night,Jax Jones,dance pop,2019,2020‑06‑22,59,52,169,64,Solo
Sorry,Joel Corry,dance pop,2019,2020‑06‑22,74,85,189,68,Solo
Sucker,Jonas Brothers,boy band,2019,2020‑06‑22,84,95,181,84,Band/Group
Only Human,Jonas Brothers,boy band,2019,2020‑06‑22,80,87,183,76,Band/Group
Robbery,Juice WRLD,chicago rap,2019,2020‑06‑22,62,57,240,84,Solo
Good as You,Kane Brown,black americana,2019,2020‑06‑22,63,77,192,70,Solo
Nights Like This (feat. Ty Dolla $ign),Kehlani,dance pop,2019,2020‑06‑22,61,29,202,80,Solo
Better,Khalid,pop,2018,2020‑06‑22,60,11,229,81,Solo
Talk (feat. Disclosure),Khalid,pop,2019,2020‑06‑22,90,35,198,76,Solo
ZEZE (feat. Travis Scott & Offset),Kodak Black,florida rap,2018,2020‑06‑22,86,50,229,82,Solo
Shallow,Lady Gaga,art pop,2018,2020‑06‑22,57,32,216,87,Solo
Doin' Time,Lana Del Rey,art pop,2019,2020‑06‑22,64,52,202,83,Solo
i'm so tired...,Lauv,dance pop,2020,2020‑06‑22,60,53,163,81,Solo
Someone You Loved,Lewis Capaldi,pop,2019,2020‑06‑22,50,45,182,89,Solo
Grace,Lewis Capaldi,pop,2019,2020‑06‑22,72,49,186,72,Solo
Old Town Road - Remix,Lil Nas X,lgbtq+ hip hop,2019,2020‑06‑22,88,64,157,83,Solo
Old Town Road,Lil Nas X,lgbtq+ hip hop,2019,2020‑06‑22,91,51,113,80,Solo
Panini,Lil Nas X,lgbtq+ hip hop,2019,2020‑06‑22,70,48,115,76,Solo
Ransom,Lil Tecca,melodic rap,2019,2020‑06‑22,75,23,131,83,Solo
Truth Hurts,Lizzo,dance pop,2019,2020‑06‑22,72,41,173,80,Solo
Good as Hell,Lizzo,dance pop,2019,2020‑06‑22,68,54,160,77,Solo
Soltera - Remix,Lunay,latin,2019,2020‑06‑22,80,80,266,74,Solo
Light On,Maggie Rogers,indie pop,2019,2020‑06‑22,66,40,234,72,Solo
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,dance pop,2018,2020‑06‑22,60,24,217,84,Solo
Here With Me,Marshmello,brostep,2019,2020‑06‑22,79,18,156,77,Solo
One Thing Right,Marshmello,brostep,2019,2020‑06‑22,66,44,182,77,Solo
Piece Of Your Heart,MEDUZA,edm,2019,2020‑06‑22,68,63,153,81,Band/Group
Going Bad (feat. Drake),Meek Mill,hip hop,2018,2020‑06‑22,89,54,181,83,Solo
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion,dance pop,2019,2020‑06‑22,87,57,199,73,Solo
Slide Away,Miley Cyrus,dance pop,2019,2020‑06‑22,53,29,234,74,Solo
Pure Water (with Migos),Mustard,cali rap,2019,2020‑06‑22,68,14,192,80,Solo
Shotta Flow (feat. Blueface) [Remix],NLE Choppa,memphis hip hop,2019,2020‑06‑22,89,57,177,74,Solo
Motivation,Normani,dance pop,2019,2020‑06‑22,60,88,194,76,Solo
Options,NSG,afro dancehall,2020,2020‑08‑20,84,76,240,62,Band/Group
Clout (feat. Cardi B),Offset,atl hip hop,2019,2020‑06‑22,92,42,206,73,Solo
High Hopes,Panic! At The Disco,modern rock,2018,2020‑06‑22,58,68,191,85,Band/Group
Adan y Eva,Paulo Londra,argentine hip hop,2019,2020‑06‑22,77,72,257,76,Solo
Pop Out (feat. Lil Tjay),Polo G,chicago rap,2019,2020‑06‑22,77,26,167,83,Solo
Circles,Post Malone,dfw rap,2019,2020‑06‑22,70,55,215,89,Solo
Better Now,Post Malone,dfw rap,2018,2020‑06‑22,68,34,231,84,Solo
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,2019,2020‑06‑22,76,93,158,84,Solo
Wow.,Post Malone,dfw rap,2019,2020‑06‑22,83,39,150,83,Solo
Goodbyes (feat. Young Thug),Post Malone,dfw rap,2019,2020‑06‑22,55,16,175,82,Solo
Bohemian Rhapsody - Remastered 2011,Queen,classic rock,1975,2020‑06‑22,39,23,354,77,Band/Group
Ride It,Regard,dance pop,2019,2020‑06‑22,88,88,158,85,Solo
Keisha & Becky - Remix,Russ Millions,uk drill,2019,2020‑08‑20,86,64,253,73,Solo
Post Malone (feat. RANI),Sam Feldt,dance pop,2019,2020‑06‑22,59,65,174,74,Solo
My Type,Saweetie,cali rap,2019,2020‑06‑22,90,59,126,76,Solo
Otro Trago,Sech,latin,2019,2020‑06‑22,75,62,226,76,Solo
Señorita,Shawn Mendes,canadian pop,2019,2020‑06‑22,76,75,191,83,Solo
If I Can't Have You,Shawn Mendes,canadian pop,2019,2020‑06‑22,69,86,191,78,Solo
Don’t Feel Like Crying,Sigrid,dance pop,2019,2020‑06‑22,75,72,157,56,Solo
Vossi Bop,Stormzy,grime,2019,2020‑06‑22,68,43,196,69,Solo
Lover,Taylor Swift,pop,2019,2020‑06‑22,36,45,221,86,Solo
Cruel Summer,Taylor Swift,pop,2019,2021‑08‑17,55,56,178,82,Solo
You Need To Calm Down,Taylor Swift,pop,2019,2020‑06‑22,77,71,171,81,Solo
SICKO MODE,Travis Scott,hip hop,2018,2020‑06‑22,83,45,313,86,Solo
EARFQUAKE,"Tyler, The Creator",hip hop,2019,2020‑06‑22,55,41,190,85,Solo
Boasty (feat. Idris Elba),Wiley,grime,2019,2020‑06‑22,89,46,177,68,Solo
Strike a Pose (feat. Aitch),Young T & Bugsey,afroswing,2019,2020‑08‑20,53,59,214,67,Duo
The London (feat. J. Cole & Travis Scott),Young Thug,atl hip hop,2019,2020‑06‑22,80,18,200,75,Solo
